#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-staticworkload/pond-sw-offload-local-single-24-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.153065 seconds
Distributing the actor graph took: 2.40037 seconds
Added actors in: 0.0458284 seconds.
Initialized connections of actors in: 0.0114758 seconds.
Rank-298: (1) 0 | (2) 0 | (3)0/100 | (4) 7 | (5) 127.303 | (6) 16.4025 | (7) 0.000102317 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 87.7301/100| (15)0 | (16) 1
Rank-359: (1) 0 | (2) 0 | (3)0/100 | (4) 7 | (5) 128.013 | (6) 16.136 | (7) 8.5441e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 88.3436/100| (15)0 | (16) 1
Rank-375: (1) 0 | (2) 0 | (3)0/100 | (4) 8 | (5) 145.881 | (6) 7.77593 | (7) 6.6015e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 93.865/100| (15)0 | (16) 1
Rank-132: (1) 1 | (2) 1 | (3)100/100 | (4) 7 | (5) 128.977 | (6) 15.7339 | (7) 6.3831e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 88.3436/100| (15)0 | (16) 1
Rank-422: (1) 1 | (2) 1 | (3)100/100 | (4) 8 | (5) 136.364 | (6) 12.2246 | (7) 2.4902e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 90.7975/100| (15)0 | (16) 1
Rank-55: (1) 0 | (2) 0 | (3)0/100 | (4) 7 | (5) 128.937 | (6) 15.3751 | (7) 0.000118005 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 88.3436/100| (15)0 | (16) 1
Rank-560: (1) 2 | (2) 2 | (3)100/100 | (4) 6 | (5) 107.603 | (6) 26.98 | (7) 0.000131436 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.214 | (14) 82.2086/100| (15)0 | (16) 1
Rank-224: (1) 0 | (2) 0 | (3)0/100 | (4) 7 | (5) 127.796 | (6) 15.9495 | (7) 0.000122326 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 87.7301/100| (15)0 | (16) 1
Rank-85: (1) 0 | (2) 0 | (3)0/100 | (4) 8 | (5) 144.037 | (6) 8.54455 | (7) 9.21e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 93.2515/100| (15)0 | (16) 1
Rank-76: (1) 0 | (2) 0 | (3)0/100 | (4) 8 | (5) 145.09 | (6) 8.14373 | (7) 0.000149119 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 93.865/100| (15)0 | (16) 1
Rank-146: (1) 2 | (2) 2 | (3)100/100 | (4) 6 | (5) 143.483 | (6) 9.57585 | (7) 4.4913e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 93.865/100| (15)0 | (16) 1
Rank-591: (1) 0 | (2) 0 | (3)0/100 | (4) 8 | (5) 145.502 | (6) 8.01337 | (7) 3.2945e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.214 | (14) 93.865/100| (15)0 | (16) 1
Rank-450: (1) 0 | (2) 0 | (3)0/100 | (4) 7 | (5) 127.337 | (6) 17.7973 | (7) 0.000142345 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.214 | (14) 88.9571/100| (15)0 | (16) 1
Rank-654: (1) 1 | (2) 1 | (3)100/100 | (4) 8 | (5) 143.086 | (6) 9.17519 | (7) 0.00011276 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.214 | (14) 93.2515/100| (15)0 | (16) 1
Rank-324: (1) 1 | (2) 1 | (3)100/100 | (4) 7 | (5) 128.979 | (6) 15.8285 | (7) 2.0801e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 88.3436/100| (15)0 | (16) 1
Rank-636: (1) 0 | (2) 0 | (3)0/100 | (4) 8 | (5) 145.48 | (6) 8.07062 | (7) 0.000110572 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.214 | (14) 93.865/100| (15)0 | (16) 1
Rank-535: (1) 2 | (2) 2 | (3)100/100 | (4) 7 | (5) 140.055 | (6) 10.765 | (7) 0.000138276 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.214 | (14) 92.0245/100| (15)0 | (16) 1
Rank-181: (1) 0 | (2) 0 | (3)0/100 | (4) 8 | (5) 139.322 | (6) 11.2383 | (7) 8.9487e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 92.0245/100| (15)0 | (16) 1
